"chunk_fr","chunk_en","topic_slug","source","source_type","register","exam_tag","cefr_level","review_status","review_notes","source_file","extractor","dup_count"
"A quoi est-ce-qui intéresse lui ? (correction","A quoi est-ce qu’il s’interesse","OTHER_IN_SCOPE_TEACHABLE","Completed_quiz_prepositions__1.docx","chadi_authored","","","","","","Completed_quiz_prepositions__1.docx","regex","1"
"accord avec le participe passé","agreement with the past participle","OTHER_IN_SCOPE_TEACHABLE","Correction_devoir1.docx","chadi_authored","formel","","B2","","","Correction_devoir1.docx","haiku","1"
"Admis","Admettre","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Aller (to go","Venir (to come","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Appartenu","Appartenir","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Appris","Apprendre","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Après avoir mangé, on est sortis","after having done","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"arriver Penser (to think","Passer Comprendre","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","1"
"Asseyez-VOUS!","Ne VOUS asseyez pas!","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Au fond","Deep down / Fundamentally","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"auquel","lequel","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","3"
"autant de... que de","as many... as","OTHER_IN_SCOPE_TEACHABLE","AUTANT.docx","chadi_authored","","","","","","AUTANT.docx","table","1"
"autant pour moi","my mistake (informal","OTHER_IN_SCOPE_TEACHABLE","AUTANT.docx","chadi_authored","","","","","","AUTANT.docx","table","1"
"autour d'un verre","over a drink","OTHER_IN_SCOPE_TEACHABLE","Introduction_to_colloquial_french.docx","chadi_authored","semi_formel","","B1","","","Introduction_to_colloquial_french.docx","haiku","1"
"autour de","Les collègues autour desquels je travaille","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"auxquelles","lesquelles","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","3"
"auxquels","lesquels","OTHER_IN_SCOPE_TEACHABLE","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","3"
"Avant de partir, j’ai vérifié mon sac","before doing","OTHER_IN_SCOPE_TEACHABLE","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Avec quel collègue t’es-tu bien entendu(e) dans ton dernier emploi ?","With which colleague did you get along well at your last job?","OTHER_IN_SCOPE_TEACHABLE","15112024.docx","chadi_authored","","","","","","15112024.docx","regex","1"
"avoir besoin de (to need","J'en ai besoin","OTHER_IN_SCOPE_TEACHABLE","French_Object_Pronouns.docx","chadi_authored","","","","","","French_Object_Pronouns.docx","table","1"
