"chunk_fr","chunk_en","topic_slug","source","source_type","register","exam_tag","cefr_level","review_status","review_notes","source_file","extractor","dup_count"
"a pour conséquence de... ... has the consequence of","Cette réforme a pour conséquence de réduire le pouvoir d’achat. This reform has the consequence of reducing purchasing power","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Alors que la France investit dans le nucléaire, l’Allemagne mise sur le renouvelable. Whereas France invests in nuclear, Germany bets on renewable energy","Alors que... / Tandis que... Whereas... / While","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Also: Il faudrait, on devrait, ce serait bien de, j’aurais aimé, il serait préférable de... The conditionnel is not just a tense","it’s a social code","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","regex","1"
"Au lieu de te plaindre, agis","instead of doing","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Avec quoi est-ce que...?","ce avec quoi","calques_anglais","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"B1 (English architecture) Je pense que la pollution est un problème","B2+ (French architecture) Ce qui me préoccupe, c’est que la pollution ne cesse d’augmenter","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"B2+ (connected / French rhythm) Étant donné qu’il fait mauvais, je préfère rester à la maison, d’autant plus que je suis fatigué","B1 (chopped / English rhythm) Il fait mauvais. Je ne veux pas sortir. Je vais rester à la maison","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"B2+ En ce qui concerne l’environnement, c’est un sujet qui mérite une attention particulière","B1 Je vais parler de l’environnement","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"B2+ Étant donné que l’économie va mal, la situation est de plus en plus difficile","B1 La situation est difficile parce que l’économie va mal","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"C'est d'autant moins acceptable","It's all the less acceptable","calques_anglais","AUTANT.docx","chadi_authored","","","","","","AUTANT.docx","table","1"
"C'est d'autant plus important","It's all the more important","calques_anglais","AUTANT.docx","chadi_authored","","","","","","AUTANT.docx","table","1"
"c'est pourquoi / par conséquent","formel","calques_anglais","Notes de cours pour Egor.docx","chadi_authored","","","","","","Notes de cours pour Egor.docx","regex","2"
"ce qui entraîne / provoque... ... which leads to / causes","Les températures augmentent, ce qui entraîne la fonte des glaciers. Temperatures are rising, which leads to the melting of glaciers","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Ce qui me préoccupe, c’est que les jeunes sont de plus en plus endettés. What worries me is that young people are increasingly in debt","Ce qui me dérange / préoccupe, c’est que... What bothers/worries me is that","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Ce qu’il faut retenir, c’est que... What we should take away is that","Ce qu’il faut retenir, c’est que le changement commence par l’individu. What we should take away is that change starts with the individual","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"ce à quoi","What I'm thinking about","calques_anglais","Notes de cours de Andre.docx","chadi_authored","","","","","","Notes de cours de Andre.docx","table","2"
"Cela est dû au fait que... This is due to the fact that","Cela est dû au fait que les entreprises délocalisent. This is due to the fact that companies are outsourcing","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Certes, le prix est élevé, en revanche la qualité est exceptionnelle. Admittedly, the price is high; however, the quality is exceptional","Certes..., mais / en revanche... Admittedly..., but / however","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
"Comme / Puisque... (cause first!) Since / As... (cause before consequence","Comme il pleut, on va rester à la maison. Since it’s raining, we’ll stay home","calques_anglais","Les_Moules_Complete_Framework.docx","book_lab","","","","","","Les_Moules_Complete_Framework.docx","table","1"
